reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2019,84,934369.869
THA,2019,84,5903232408.062
THA,2019,85,10626.432
THA,2019,84,524.027
THA,2019,85,17517.63
THA,2019,84,2874.022
THA,2019,84,14626.887
THA,2019,85,399.3
THA,2019,85,1357.933
THA,2019,84,74550.0
THA,2019,84,407.867
THA,2019,84,290348.18
THA,2019,84,46724.056
THA,2019,84,41114.497
THA,2019,84,104.817
THA,2019,85,143906.376
THA,2019,84,5771451.159
THA,2019,84,14824129.907
THA,2019,84,8359118.045
THA,2019,84,112841776.661
THA,2019,85,321718.364
THA,2019,84,5644.721
THA,2019,84,318353.55
THA,2019,84,146.089
THA,2019,84,14100.224
THA,2019,84,1161739.41
THA,2019,84,383546.466
THA,2019,84,1372769.266
THA,2019,84,3802205.307
THA,2019,84,39054.699
THA,2019,84,297565219.946
THA,2019,85,1121169.33
THA,2019,85,28494470.453
THA,2019,85,962105.421
THA,2019,85,1128732.063
THA,2019,84,6.915
THA,2019,84,22522.102
THA,2019,84,38950.461
THA,2019,84,40124.903
THA,2019,84,77514.797
THA,2019,85,33049.59
THA,2019,85,1962113.795
THA,2019,85,32657822.993
THA,2019,85,3610982.395
THA,2019,85,3294.643
THA,2019,85,152713.629
THA,2019,85,214444992.604
THA,2019,85,19556.401
THA,2019,85,10750.264
THA,2019,84,156447.551
THA,2019,84,140094.051
THA,2019,85,44334.515
THA,2019,85,15803.404
THA,2019,84,25501.612
THA,2019,84,3527.987
THA,2019,85,1250468.649
THA,2019,84,827836.218
THA,2019,85,153767.106
THA,2019,84,65094.581
THA,2019,84,5151982.582
THA,2019,84,55356.361
THA,2019,84,2921.619
THA,2019,84,788.819
THA,2019,84,69.637
THA,2019,84,10399.991
THA,2019,84,449077.15
THA,2019,84,72902.268
THA,2019,84,641916.139
THA,2019,84,89677.277
THA,2019,84,7962.014
THA,2019,85,907.346
THA,2019,85,177676.467
THA,2019,85,4537.688
THA,2019,85,2846.782
THA,2019,85,7254.515
THA,2019,85,403.006
THA,2019,84,2874.022
THA,2019,85,3021.496
THA,2019,85,299.349
THA,2019,85,34283.523
THA,2019,84,775.735
THA,2019,85,403.006
THA,2019,85,49045.256
THA,2019,85,1355.59
THA,2019,85,34990.592
THA,2019,85,513.172
THA,2019,85,312397.528
THA,2019,84,171886.585
THA,2019,85,782986.164
THA,2019,84,2415732.378
THA,2019,84,449077.15
THA,2019,84,745.136
THA,2019,85,4013.506
THA,2019,84,65948.959
THA,2019,84,147360.058
THA,2019,85,4438517972.15
THA,2019,85,12086.1
THA,2019,85,8320161.796
THA,2019,84,57122.143
THA,2019,84,314141.807
THA,2019,84,147.74
THA,2019,84,400.068
THA,2019,85,1493184.103
THA,2019,85,131376.126
THA,2019,85,7513842.726
THA,2019,85,10652428.51
THA,2019,85,3752.997
THA,2019,84,2776985.839
THA,2019,84,1976692.825
THA,2019,84,1615654.761
THA,2019,84,565986.657
