,niip_gdp,cape,savings,mfg_share,yield_10y
1998-10-01,-10868.794148821535,42.150000000000006,5.8,13.732858089693016,4.661935483870968
1999-01-01,-10649.191079766611,44.2,5.8999999999999995,13.589452797489102,5.000819672131148
1999-04-01,-11922.506432253753,42.400000000000006,4.466666666666667,13.446648362498976,5.54125
1999-07-01,-13103.200226786914,40.6,4.133333333333334,13.34407601481472,5.88296875
1999-10-01,-14168.980347709217,38.8,3.9333333333333336,13.242616034856695,6.14483870967742
2000-01-01,-15359.133244865945,37.0,4.1000000000000005,13.173873442817873,6.468412698412698
2000-04-01,-16840.8460613678,35.375,4.3,13.09728083054108,6.184920634920634
2000-07-01,-18562.966380165464,33.75,4.533333333333333,13.06405725209615,5.88984126984127
2000-10-01,-20170.217379805406,32.125,4.233333333333333,12.977112622350598,5.570645161290322
2001-01-01,-21914.196544469745,30.5,4.666666666666667,12.824621990612115,5.0441935483870965
2001-04-01,-21921.32276629871,28.7,4.433333333333334,12.582859447622562,5.276190476190476
2001-07-01,-22196.740523229808,26.9,6.266666666666667,12.30684048407455,4.995737704918033
2001-10-01,-22338.509624111142,25.1,3.3333333333333335,12.071180526099042,4.762096774193548
2002-01-01,-22352.325311818982,23.3,5.5,11.865103052229818,5.079166666666667
2002-04-01,-21868.01145538078,22.375,5.866666666666667,11.743924114782567,5.10609375
2002-07-01,-21407.23267577321,21.450000000000003,5.433333333333334,11.628746875062335,4.27234375
2002-10-01,-20990.833646960567,20.525000000000002,5.5,11.478722024432676,4.004838709677419
2003-01-01,-20515.200782092277,19.6,5.133333333333334,11.340058098589216,3.92
2003-04-01,-20419.30328975248,19.85,5.133333333333333,11.178679963462416,3.6206349206349207
2003-07-01,-20123.174614921547,20.1,5.5,11.041022591059805,4.22765625
2003-10-01,-19921.231603109485,20.35,5.0,10.970153898913177,4.285161290322581
2004-01-01,-19816.140416441656,20.6,4.566666666666666,10.912965259522942,4.01
2004-04-01,-18462.939869881608,21.175,5.033333333333334,10.886478279313836,4.597096774193548
2004-07-01,-17147.044766944862,21.75,4.5,10.863849486942911,4.30140625
2004-10-01,-15834.416574986266,22.325,4.5,10.796568118200028,4.175806451612903
2005-01-01,-14546.756452389334,22.9,2.5,10.72690858342512,4.303606557377049
2006-01-01,-12174.399006997492,26.4,3.1666666666666665,10.468160321043811,4.577096774193548
2006-04-01,-12206.196798702635,26.599999999999998,2.966666666666667,10.42892067414305,5.072698412698412
2006-07-01,-14460.935929635561,26.799999999999997,2.4,10.354692032829602,4.893492063492064
2006-10-01,-12876.607244101666,27.0,2.566666666666667,10.242233871577634,4.630645161290323
2007-01-01,-11636.231080799607,27.2,2.733333333333333,10.164597908651794,4.679032258064517
2007-04-01,-9869.281399730955,26.425,2.8333333333333335,10.09015210384189,4.84609375
2007-07-01,-8455.322076855055,25.65,2.3666666666666667,10.017002970069761,4.738412698412698
2007-10-01,-8690.621538834574,24.875,2.1666666666666665,9.942156594608088,4.266612903225807
2008-01-01,-12572.84345234752,24.1,2.8333333333333335,9.893747429206341,3.6652459016393446
2008-04-01,-12339.936071632277,22.900000000000002,4.6000000000000005,9.825630986414,3.8815625000000002
2008-07-01,-22209.66656887486,21.700000000000003,3.533333333333333,9.729501544367283,3.8621875
2008-10-01,-27345.07015884014,20.5,5.566666666666666,9.591143340814996,3.234677419354839
2009-01-01,-26720.6443505749,19.3,5.7,9.281969083798456,2.7362295081967214
2009-04-01,-22246.877806608554,19.6,6.8,9.023497848790536,3.320793650793651
2009-07-01,-18475.33255514164,19.9,5.1000000000000005,8.903352670614945,3.5178125
2009-10-01,-17929.802435273607,20.2,5.333333333333333,8.845259605422216,3.4640322580645164
2010-01-01,-18754.616613645736,20.5,5.3999999999999995,8.815434043178719,3.7178688524590164
2010-04-01,-21232.26983791197,21.275,6.2,8.821230198864953,3.4925
2010-07-01,-18137.36150991107,22.05,6.133333333333333,8.853674001467033,2.78453125
2010-10-01,-16402.078869594083,22.825000000000003,5.966666666666666,8.847036673268054,2.8783870967741936
2011-01-01,-17186.75658478601,23.6,6.6000000000000005,8.876912242623382,3.4574193548387098
